id,unit,name,start,end,agency,acres,cause
HIA-0221,HUMBOLDT,MILL CREEK #4,2009-10-07,10/17/2009,BIA,2750,UI
CZU-9867,SANTA CRUZ,LOMA,2009-10-25,10/27/2009,CAL FIRE,485,UNDETERMINED
SLU-8148,SAN  LUIS OBISPO,HERNRICK VMP,2009-11-14,11/14/2009,CAL FIRE,600,DEBRIS
MNF-1745,GLENN,DOE,2009-11-28,11/29/2009,USFS,550,HUMAN
RRU-41963,RIVERSIDE,PEDLEY,2010-05-12,5/13/2010,CALFIRE,850,UI
CND-1112,SAN LUIS OBISPO,COTTON,2010-05-15,5/17/2010,USFS,2044,UI
KRN-1013254,KERN,METZEN,2010-05-15,5/15/2010,CALFIRE/CC,360,OTHER
RRU-044545,RIVERSIDE,MCKINLEY,2010-05-20,5/22/2010,CALFIRE,1000,HUMAN
TUU-0000098,TULARE,BALE,2010-06-04,6/4/2010,CALFIRE,485,EQUIPMENT
MMU-007933,MERCED,CHILDS,2010-06-05,6/5/2010,CALFIRE,462,HUMAN
FKU-0006047,FRESNO,WHITES,2010-06-07,6/7/2010,CALFIRE,350,EQUIPMENT
SCU-002282,STANISLAUS,STUHR,2010-06-08,6/10/2010,CALFIRE,586,EQUIPMENT
MMU-008291,MERCED,ROBINSON,2010-06-11,6/12/2010,CALFIRE,1600,UI
SCU-002461,ALAMEDA,DIABLO,2010-06-18,6/19/2010,CALFIRE,475,
BTU-0007746,BUTTE,PALERMO,2010-07-04,7/5/2010,CALFIRE,900,MISUSE OF FIRE
SBC-006024,SANTA BARBARA,166,2010-07-12,7/12/2010,CALFIRE/CC,350,UNDETERMINE
MCP-2054,SAN DIEGO,ALISO,2010-07-13,7/15/2010,MILITARY/USFS,3225,
RRU-062442,RIVERSIDE,CACTUS,2010-07-15,7/18/2010,CALFIRE,720,LIGHTNING
CND-2466,KERN,BODFISH,2010-07-15,7/18/2010,USFS,552,LIGHTNING
RRU-062475,RIVERSIDE,SKINNER,2010-07-15,7/18/2010,CALFIRE,503,LIGHTNING
KNP-0039,FRESNO,SHEEP,2010-07-16,7/16/2010,NPS,8967,LIGHTNING
CDD-11051,KERN,SAND 2,2010-07-16,7/22/2010,USFS,1254,LIGHTNING
CDD-11175,KERN,INDIAN,2010-07-18,7/24/2010,USFS,1822,LIGHTNING
OVD-903,MONO,PATATO,2010-07-24,7/27/2010,USFS,686,
YNP-2777,TUOLUMME,SLOPE,2010-07-25,7/25/2010,NPS,1711,LIGHTNING
SQF--2701,KERN,BULL,2010-07-26,8/10/2010,USFS,16442,HUMAN
INF-934,MONO,MONO,2010-07-26,7/29/2010,USFS,1205,LIGHTNING
NOD-3688,LASSEN,MCDONALD,2010-07-27,8/10/2010,USFS,9408,LIGHTNING
KRN-21461,KERN,WEST,2010-07-27,8/6/2010,CALFIRE,1650,EQUIPMENT
LAC-1016920,LOS ANGELES,CROWN,2010-07-29,8/3/2010,CALFIRE/CC,14000,UNDETERMINED
ANF-3201,LOS ANGELES,BRIGGS,2010-07-29,7/30/2010,USFS,510,UI
PNF-0700,PLUMAS,BAR,2010-07-31,8/10/2010,USFS,1040,UI
KNF-5561,SISKIYOU,DUTCH,2010-07-31,8/4/2010,USFS,371,UI
SNF-1497,MADERA,BUCKHORN,2010-08-07,8/7/2010,USFS,466,LIGHTNING
YNP-3213,TUOLUMME,VERNON,2010-08-08,8/8/2010,NPS,909,LIGHTNING
STF-2269,TUOLUMME,PINECREST,2010-08-09,10/15/2010,USFS,799,LIGHTNING
TUU-0320,TULARE,STOKES 2,2010-08-17,8/18/2010,CALFIRE,879,HUMAN
NEU-0017796,PLACER,BASELINE,2010-08-20,8/21/2010,CALFIRE,434,UNDETERMINE
SLU-6481,SAN LUIS OBISPO,POZO,2010-08-21,8/22/2010,CALFIRE,1200,UNDETERMINE
MVU-9309,SAN DIEGO,MONTE,2010-08-21,8/23/2010,CAL FIRE,929,UI
